iter,epoch,loss
0,0.0,1.602523922920227
1,0.0016,1.6163865327835083
2,0.0032,1.6055573225021362
3,0.0048,1.6166064739227295
4,0.0064,1.600326418876648
5,0.008,1.617436408996582
6,0.0096,1.5973796844482422
7,0.0112,1.6013929843902588
8,0.0128,1.5992242097854614
9,0.0144,1.5997378826141357
10,0.016,1.593587040901184
11,0.0176,1.6012742519378662
12,0.0192,1.5988738536834717
13,0.0208,1.5828864574432373
14,0.0224,1.594398021697998
15,0.024,1.5741249322891235
16,0.0256,1.5851209163665771
17,0.0272,1.5786868333816528
18,0.0288,1.5782642364501953
19,0.0304,1.5656927824020386
20,0.032,1.5725642442703247
21,0.0336,1.5899832248687744
22,0.0352,1.5716608762741089
23,0.0368,1.5635541677474976
24,0.0384,1.5473142862319946
25,0.04,1.5371677875518799
26,0.0416,1.5278356075286865
27,0.0432,1.5421972274780273
28,0.0448,1.5297807455062866
29,0.0464,1.5475901365280151
30,0.048,1.483720064163208
31,0.0496,1.5263864994049072
32,0.0512,1.5169771909713745
33,0.0528,1.5287373065948486
34,0.0544,1.4817181825637817
35,0.056,1.4962130784988403
36,0.0576,1.4687116146087646
37,0.0592,1.4478087425231934
38,0.0608,1.3942066431045532
39,0.0624,1.4468785524368286
40,0.064,1.4725956916809082
41,0.0656,1.3688560724258423
42,0.0672,1.395728588104248
43,0.0688,1.34818696975708
44,0.0704,1.3967280387878418
45,0.072,1.3838390111923218
46,0.0736,1.3291486501693726
47,0.0752,1.444647192955017
48,0.0768,1.2343370914459229
49,0.0784,1.2498769760131836
50,0.08,1.171648621559143
51,0.0816,1.3681633472442627
52,0.0832,1.3446261882781982
53,0.0848,1.400048851966858
54,0.0864,1.2778856754302979
55,0.088,1.4320694208145142
56,0.0896,1.3311798572540283
57,0.0912,1.3319600820541382
58,0.0928,1.2599596977233887
59,0.0944,1.267717719078064
60,0.096,1.3521807193756104
61,0.0976,1.3486491441726685
62,0.0992,1.2638694047927856
63,0.1008,1.2126621007919312
64,0.1024,1.2913024425506592
65,0.104,1.2656868696212769
66,0.1056,1.331871509552002
67,0.1072,1.2868403196334839
68,0.1088,1.1962708234786987
69,0.1104,1.2397541999816895
70,0.112,1.3146142959594727
71,0.1136,1.3566787242889404
72,0.1152,1.1809505224227905
73,0.1168,1.2361336946487427
74,0.1184,1.1997514963150024
75,0.12,1.3204096555709839
76,0.1216,1.306267261505127
77,0.1232,1.2139495611190796
78,0.1248,1.1261929273605347
79,0.1264,1.3773651123046875
80,0.128,1.246942400932312
81,0.1296,1.3238688707351685
82,0.1312,1.1630841493606567
83,0.1328,1.1364315748214722
84,0.1344,1.303722620010376
85,0.136,1.2153300046920776
86,0.1376,1.1513739824295044
87,0.1392,1.22495698928833
88,0.1408,1.3295729160308838
89,0.1424,1.2192597389221191
90,0.144,1.150290846824646
91,0.1456,1.09785795211792
92,0.1472,1.0811032056808472
93,0.1488,1.1126071214675903
94,0.1504,1.1455363035202026
95,0.152,1.1495245695114136
96,0.1536,1.2518362998962402
97,0.1552,1.1263591051101685
98,0.1568,1.2682691812515259
99,0.1584,1.16348397731781
100,0.16,1.0954278707504272
101,0.1616,1.1518430709838867
102,0.1632,1.2226101160049438
103,0.1648,1.2435122728347778
104,0.1664,1.2209486961364746
105,0.168,1.2716484069824219
106,0.1696,1.1201313734054565
107,0.1712,1.2059041261672974
108,0.1728,1.0327194929122925
109,0.1744,1.0649737119674683
110,0.176,1.0684555768966675
111,0.1776,1.0653631687164307
112,0.1792,1.0186415910720825
113,0.1808,1.0468032360076904
114,0.1824,1.2044955492019653
115,0.184,1.1250821352005005
116,0.1856,1.0577960014343262
117,0.1872,1.1394397020339966
118,0.1888,1.0638136863708496
