iter,epoch,loss
0,0.0,1.63172447681427
1,0.0016,1.6640592813491821
2,0.0032,1.5801485776901245
3,0.0048,1.582038402557373
4,0.0064,1.593666434288025
5,0.008,1.5854302644729614
6,0.0096,1.6067936420440674
7,0.0112,1.5967496633529663
8,0.0128,1.6111623048782349
9,0.0144,1.6145222187042236
10,0.016,1.6349910497665405
11,0.0176,1.606311321258545
12,0.0192,1.6229236125946045
13,0.0208,1.5790455341339111
14,0.0224,1.6090904474258423
15,0.024,1.579736351966858
16,0.0256,1.6045464277267456
17,0.0272,1.6138426065444946
18,0.0288,1.5959962606430054
19,0.0304,1.6504470109939575
20,0.032,1.5658190250396729
21,0.0336,1.5851234197616577
22,0.0352,1.5647327899932861
23,0.0368,1.5849761962890625
24,0.0384,1.6007006168365479
25,0.04,1.6272315979003906
26,0.0416,1.612025499343872
27,0.0432,1.592846393585205
28,0.0448,1.579710602760315
29,0.0464,1.593521237373352
30,0.048,1.626992106437683
31,0.0496,1.556354284286499
32,0.0512,1.581562876701355
33,0.0528,1.5602203607559204
34,0.0544,1.5736398696899414
35,0.056,1.5933181047439575
36,0.0576,1.536302924156189
37,0.0592,1.580615520477295
38,0.0608,1.571382761001587
39,0.0624,1.5576163530349731
40,0.064,1.5469380617141724
41,0.0656,1.5538322925567627
42,0.0672,1.5583356618881226
43,0.0688,1.5849367380142212
44,0.0704,1.5626219511032104
45,0.072,1.5609148740768433
46,0.0736,1.5571309328079224
47,0.0752,1.5879184007644653
48,0.0768,1.5562279224395752
49,0.0784,1.5768778324127197
50,0.08,1.5394399166107178
51,0.0816,1.5847936868667603
52,0.0832,1.5620774030685425
53,0.0848,1.5757821798324585
54,0.0864,1.5523412227630615
55,0.088,1.5692237615585327
56,0.0896,1.5808887481689453
57,0.0912,1.5033180713653564
58,0.0928,1.5195788145065308
59,0.0944,1.5075453519821167
60,0.096,1.5320148468017578
61,0.0976,1.5575881004333496
62,0.0992,1.5302988290786743
63,0.1008,1.5046422481536865
64,0.1024,1.5352660417556763
65,0.104,1.513123631477356
66,0.1056,1.4893755912780762
67,0.1072,1.5085968971252441
68,0.1088,1.469660758972168
69,0.1104,1.491189956665039
70,0.112,1.4916294813156128
71,0.1136,1.552545189857483
72,0.1152,1.5264782905578613
73,0.1168,1.514833688735962
74,0.1184,1.5437575578689575
75,0.12,1.5604865550994873
76,0.1216,1.4893724918365479
77,0.1232,1.5273910760879517
78,0.1248,1.4624927043914795
79,0.1264,1.5270427465438843
80,0.128,1.461498737335205
81,0.1296,1.4549051523208618
82,0.1312,1.5075560808181763
83,0.1328,1.5108816623687744
84,0.1344,1.5402023792266846
85,0.136,1.4438167810440063
86,0.1376,1.494927167892456
87,0.1392,1.518500804901123
88,0.1408,1.4043720960617065
89,0.1424,1.4568448066711426
